Source,ID/Code,Name,Wilaya ID,Wilaya Name,Code Postal,Has Stop Desk
dhd,1000,Adrar,1,Adrar,1000,1
dhd,1044,Akabli,1,Adrar,1044,0
dhd,1003,Aoulef,1,Adrar,1003,0
dhd,1026,Bouda,1,Adrar,1026,0
dhd,1008,Fenoughil,1,Adrar,1008,0
dhd,1049,In Zghmir,1,Adrar,1049,0
dhd,1025,Ouled Ahmed Timmi,1,Adrar,1025,0
dhd,1004,Reggane,1,Adrar,1004,0
dhd,1009,Sali,1,Adrar,1009,0
dhd,1022,Sebaa,1,Adrar,1022,0
dhd,1029,Tamantit,1,Adrar,1029,0
dhd,1024,Tamest,1,Adrar,1024,0
dhd,1043,Timekten,1,Adrar,1043,0
dhd,1031,Tit,1,Adrar,1031,0
dhd,1011,Tsabit,1,Adrar,1011,0
dhd,1007,Zaouiet Kounta,1,Adrar,1007,0
dhd,2018,Abou El Hassan,2,Chlef,2018,0
dhd,2004,Ain Merane,2,Chlef,2004,0
dhd,2039,Benairia,2,Chlef,2039,0
dhd,2071,Beni Bouattab,2,Chlef,2071,0
dhd,2017,Beni Haoua,2,Chlef,2017,0
dhd,2035,Beni Rached,2,Chlef,2035,0
dhd,2002,Boukadir,2,Chlef,2002,0
dhd,2021,Bouzeghaia,2,Chlef,2021,0
dhd,2070,Breira,2,Chlef,2070,0
dhd,2020,Chettia,2,Chlef,2020,0
dhd,2000,Chlef,2,Chlef,2000,1
dhd,2036,Dahra,2,Chlef,2036,0
dhd,2050,El Hadjadj,2,Chlef,2050,0
dhd,2008,El Karimia,2,Chlef,2008,0
dhd,2015,El Marsa,2,Chlef,2015,0
dhd,2031,Harchoun,2,Chlef,2031,0
dhd,2038,Herenfa,2,Chlef,2038,0
dhd,2049,Labiod Medjadja,2,Chlef,2049,0
dhd,2060,Moussadek,2,Chlef,2060,0
dhd,2003,Oued Fodda,2,Chlef,2003,0
dhd,2061,Oued Goussine,2,Chlef,2061,0
dhd,2011,Oued Sly,2,Chlef,2011,0
dhd,2029,Ouled Abbes,2,Chlef,2029,0
dhd,2037,Ouled Ben Abdelkader,2,Chlef,2037,0
dhd,2010,Ouled Fares,2,Chlef,2010,0
dhd,2024,Oum Drou,2,Chlef,2024,0
dhd,2025,Sendjas,2,Chlef,2025,0
dhd,2066,Sidi Abderrahmane,2,Chlef,2066,0
dhd,2009,Sidi Akkacha,2,Chlef,2009,0
dhd,2033,Sobha,2,Chlef,2033,0
dhd,2043,Tadjena,2,Chlef,2043,0
dhd,2065,Talassa,2,Chlef,2065,0
dhd,2012,Taougrite,2,Chlef,2012,0
dhd,2006,Tenes,2,Chlef,2006,0
dhd,2014,Zeboudja,2,Chlef,2014,0
dhd,3001,Aflou,3,Laghouat,3001,0
dhd,3012,Ain Madhi,3,Laghouat,3012,0
dhd,3028,Ain Sidi Ali,3,Laghouat,3028,0
dhd,3013,Beidha,3,Laghouat,3013,0
dhd,3033,Benacer Benchohra,3,Laghouat,3033,0
dhd,3005,Brida,3,Laghouat,3005,0
dhd,3014,El Assafia,3,Laghouat,3014,0
dhd,3023,El Ghicha,3,Laghouat,3023,0
dhd,3040,El Haouaita,3,Laghouat,3040,0
dhd,3025,Gueltat Sidi Saad,3,Laghouat,3025,0
dhd,3038,Hadj Mechri,3,Laghouat,3038,0
dhd,3022,Hassi Delaa,3,Laghouat,3022,0
dhd,3004,Hassi R'mel,3,Laghouat,3004,0
dhd,3010,Kheneg,3,Laghouat,3010,0
dhd,3003,Ksar El Hirane,3,Laghouat,3003,0
dhd,3000,Laghouat,3,Laghouat,3000,1
dhd,3041,Oued M'zi,3,Laghouat,3041,0
dhd,3027,Oued Morra,3,Laghouat,3027,0
dhd,3034,Sebgag,3,Laghouat,3034,0
dhd,3024,Sidi Bouzid,3,Laghouat,3024,0
dhd,3019,Sidi Makhlouf,3,Laghouat,3019,0
dhd,3007,Tadjemout,3,Laghouat,3007,0
dhd,3011,Tadjrouna,3,Laghouat,3011,0
dhd,3026,Taouiala,3,Laghouat,3026,0
dhd,4020,Ain Babouche,4,Oum El Bouaghi,4020,0
dhd,4001,Ain Beida,4,Oum El Bouaghi,4001,0
dhd,4025,Ain Diss,4,Oum El Bouaghi,4025,0
dhd,4005,Ain Fekroune,4,Oum El Bouaghi,4005,1
dhd,4006,Ain Kercha,4,Oum El Bouaghi,4006,0
dhd,4002,Ain M'lila,4,Oum El Bouaghi,4002,0
dhd,4023,Ain Zitoun,4,Oum El Bouaghi,4023,0
dhd,4026,Behir Chergui,4,Oum El Bouaghi,4026,0
dhd,4015,Berriche,4,Oum El Bouaghi,4015,0
dhd,4021,Bir Chouhada,4,Oum El Bouaghi,4021,0
dhd,4008,Dhala,4,Oum El Bouaghi,4008,0
dhd,4038,El Amiria,4,Oum El Bouaghi,4038,0
dhd,4044,El Belala,4,Oum El Bouaghi,4044,0
dhd,4040,El Djazia,4,Oum El Bouaghi,4040,0
dhd,4042,El Fedjoudj Boughrara Sa,4,Oum El Bouaghi,4042,0
dhd,4032,El Harmilia,4,Oum El Bouaghi,4032,0
dhd,4013,Fkirina,4,Oum El Bouaghi,4013,0
dhd,4012,Hanchir Toumghani,4,Oum El Bouaghi,4012,0
dhd,4018,Ksar Sbahi,4,Oum El Bouaghi,4018,0
dhd,4004,Meskiana,4,Oum El Bouaghi,4004,0
dhd,4047,Oued Nini,4,Oum El Bouaghi,4047,0
dhd,4041,Ouled Gacem,4,Oum El Bouaghi,4041,0
dhd,4019,Ouled Hamla,4,Oum El Bouaghi,4019,0
dhd,4036,Ouled Zouai,4,Oum El Bouaghi,4036,0
dhd,4000,Oum El Bouaghi,4,Oum El Bouaghi,4000,1
dhd,4045,Rahia,4,Oum El Bouaghi,4045,0
dhd,4011,Sigus,4,Oum El Bouaghi,4011,0
dhd,4010,Souk Naamane,4,Oum El Bouaghi,4010,0
dhd,4024,Zorg,4,Oum El Bouaghi,4024,0
dhd,5032,Ain Djasser,5,Batna,5032,0
dhd,5002,Ain Touta,5,Batna,5002,0
dhd,5031,Ain Yagout,5,Batna,5031,0
dhd,5007,Arris,5,Batna,5007,0
dhd,5017,Azil Abedelkader,5,Batna,5017,0
dhd,5001,Barika,5,Batna,5001,1
dhd,5000,Batna,5,Batna,5000,1
dhd,5141,Beni Foudhala El Hakania,5,Batna,5141,0
dhd,5045,Bitam,5,Batna,5045,0
dhd,5062,Boulhilat,5,Batna,5062,0
dhd,5057,Boumagueur,5,Batna,5057,0
dhd,5104,Boumia,5,Batna,5104,0
dhd,5041,Bouzina,5,Batna,5041,0
dhd,5039,Chemora,5,Batna,5039,0
dhd,5108,Chir,5,Batna,5108,0
dhd,5105,Djerma,5,Batna,5105,0
dhd,5046,Djezzar,5,Batna,5046,0
dhd,5116,El Hassi,5,Batna,5116,0
dhd,5015,El Madher,5,Batna,5015,0
dhd,5078,Fesdis,5,Batna,5078,0
dhd,5049,Foum Toub,5,Batna,5049,0
dhd,5043,Ghassira,5,Batna,5043,0
dhd,5068,Gosbat,5,Batna,5068,0
dhd,5067,Guigba,5,Batna,5067,0
dhd,5033,Hidoussa,5,Batna,5033,0
dhd,5026,Ichmoul,5,Batna,5026,0
dhd,5083,Inoughissen,5,Batna,5083,0
dhd,5079,Kimmel,5,Batna,5079,0
dhd,5047,Ksar Bellezma,5,Batna,5047,0
dhd,5042,Larbaa,5,Batna,5042,0
dhd,5117,Lazrou,5,Batna,5117,0
dhd,5088,Lemsane,5,Batna,5088,0
dhd,5037,M Doukal,5,Batna,5037,0
dhd,5123,Maafa,5,Batna,5123,0
dhd,5012,Menaa,5,Batna,5012,0
dhd,5013,Merouana,5,Batna,5013,0
dhd,5004,N Gaous,5,Batna,5004,0
dhd,5054,Oued Chaaba,5,Batna,5054,0
dhd,5016,Oued El Ma,5,Batna,5016,0
dhd,5036,Oued Taga,5,Batna,5036,0
dhd,5121,Ouled Ammar,5,Batna,5121,0
dhd,5011,Ouled Aouf,5,Batna,5011,0
dhd,5065,Ouled Fadel,5,Batna,5065,0
dhd,5044,Ouled Sellem,5,Batna,5044,0
dhd,5066,Ouled Si Slimane,5,Batna,5066,0
dhd,5076,Ouyoun El Assafir,5,Batna,5076,0
dhd,5091,Rahbat,5,Batna,5091,0
dhd,5009,Ras El Aioun,5,Batna,5009,0
dhd,5064,Sefiane,5,Batna,5064,0
dhd,5027,Seggana,5,Batna,5027,0
dhd,5025,Seriana,5,Batna,5025,0
dhd,5020,T Kout,5,Batna,5020,0
dhd,5051,Talkhamt,5,Batna,5051,0
dhd,5055,Taxlent,5,Batna,5055,0
dhd,5142,Tazoult,5,Batna,5142,0
dhd,5035,Teniet El Abed,5,Batna,5035,0
dhd,5060,Tighanimine,5,Batna,5060,0
dhd,5107,Tigharghar,5,Batna,5107,0
dhd,5027,Tilatou,5,Batna,5027,0
dhd,5023,Timgad,5,Batna,5023,0
dhd,5071,Zanet El Beida,5,Batna,5071,0
dhd,6021,Adekar,6,Béjaïa,6021,0
dhd,6013,Ait R'zine,6,Béjaïa,6013,0
dhd,6044,Ait Smail,6,Béjaïa,6044,0
dhd,6001,Akbou,6,Béjaïa,6001,0
dhd,6142,Akfadou,6,Béjaïa,6142,0
dhd,6034,Amalou,6,Béjaïa,6034,0
dhd,6008,Amizour,6,Béjaïa,6008,0
dhd,6007,Aokas,6,Béjaïa,6007,0
dhd,6009,Barbacha,6,Béjaïa,6009,0
dhd,6000,Bejaia,6,Béjaïa,6000,1
dhd,6082,Beni Dejllil,6,Béjaïa,6082,0
dhd,6106,Beni K'sila,6,Béjaïa,6106,0
dhd,6039,Beni Mallikeche,6,Béjaïa,6039,0
dhd,6024,Benimaouche,6,Béjaïa,6024,0
dhd,6018,Boudjellil,6,Béjaïa,6018,0
dhd,6031,Bouhamza,6,Béjaïa,6031,0
dhd,6059,Boukhelifa,6,Béjaïa,6059,0
dhd,6052,Chellata,6,Béjaïa,6052,0
dhd,6022,Chemini,6,Béjaïa,6022,0
dhd,6016,Darghina,6,Béjaïa,6016,0
dhd,6074,Dra El Caid,6,Béjaïa,6074,0
dhd,6003,El Kseur,6,Béjaïa,6003,0
dhd,6041,Fenaia Il Maten,6,Béjaïa,6041,0
dhd,6033,Feraoun,6,Béjaïa,6033,0
dhd,6014,Ighil Ali,6,Béjaïa,6014,0
dhd,6057,Ighram,6,Béjaïa,6057,0
dhd,6032,Kendira,6,Béjaïa,6032,0
dhd,6004,Kherrata,6,Béjaïa,6004,0
dhd,6043,Leflaye,6,Béjaïa,6043,0
dhd,6038,M'cisna,6,Béjaïa,6038,0
