id,code,name,postalCode,level,parentId,hasHomeDelivery,hasPickupPoint,Commune,,,,,,,,,
6e978fc5-f20a-4b5f-9adf-61dd21a7672a,1,Adrar,1,wilaya,,TRUE,TRUE,Adrar,,,,,,,,,
b9170873-bebd-40d2-98fb-96a5ace84aba,1,Adrar,1000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Akabli,,,,,,,,,
981f136a-996f-463e-a536-8e643daab193,2,Chlef,2,wilaya,,TRUE,TRUE,Aougrout,,,,,,,,,
bd9a789f-ea2b-40fd-9c79-ea9d6c62f264,2,Akabli,2000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Aoulef,,,,,,,,,
3c53e80c-b8ca-47af-b76f-eb45ed6e6294,3,Aougrout,3000,commune,bcb30485-37b5-4135-a508-acad8a8a9cf8,TRUE,TRUE,Bouda,,,,,,,,,
00b5ef4b-ae2e-4b7f-bd26-70c1a376b69b,3,Laghouat,3,wilaya,,TRUE,TRUE,Charouine,,,,,,,,,Quantity
37c70742-df6b-4019-981a-a16a29a14748,4,Oum El Bouaghi,4,wilaya,,TRUE,TRUE,Deldoul,,,,,,,,,1
cdb1b09b-d3cf-4c7a-979a-cb6a16ae0737,4,Aoulef,4000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Fenoughil,,,,,,,,,1
a8c05822-e30a-4d5a-bcb3-3b3bb23c079b,5,Batna,5,wilaya,,TRUE,TRUE,In Zghmir,,,,,,,,,1
295585ad-4cf4-4b7e-b276-9bb62d019749,6,Bejaia,6,wilaya,,TRUE,TRUE,Ksar Kaddour,,,,,,,,,1
b67de4b6-09f8-4fd6-a39b-6f117e006e33,6,Bouda,6000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Metarfa,,,,,,,,,1
099a08c8-1d49-4beb-b3e3-06a040240a85,7,Charouine,7000,commune,bcb30485-37b5-4135-a508-acad8a8a9cf8,TRUE,TRUE,Ouled Ahmed Timmi,,,,,,,,,2
796e70df-1102-44da-9582-2da66ead2ba6,7,Biskra,7,wilaya,,TRUE,TRUE,Ouled Aissa,,,,,,,,,1
e740c188-2bbc-4206-8999-302b17dc0e4b,8,Bechar,8,wilaya,,TRUE,TRUE,Ouled Said,,,,,,,,,1
8cd83a19-a896-4afa-8b7c-a33601371a0b,8,Deldoul,8000,commune,bcb30485-37b5-4135-a508-acad8a8a9cf8,TRUE,TRUE,Reggane,,,,,,,,,1
a7e764cf-e9ca-4c1f-8232-89852d102aec,9,Blida,9,wilaya,,TRUE,TRUE,Sali,,,,,,,,,2
4aa7999a-4b16-4f0b-8f13-8a0eeec1c344,9,Fenoughil,9000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Sebaa,,,,,,,,,1
6d89d4e3-10ea-4a9d-90a5-be53b3a2b1cb,10,In Zghmir,10000,commune,6e978fc5-f20a-4b5f-9adf-61dd21a7672a,TRUE,TRUE,Talmine,,,,,,,,,2
a1f0229c-4f34-40aa-9238-fadde6757cba,10,Bouira,10,wilaya,,TRUE,TRUE,Tamantit,,,,,,,,,2
38560f06-e049-4fd2-9664-a655e552b517,11,Tamanrasset,11,wilaya,,TRUE,TRUE,Tamest,,,,,,,,,2
7f6c89b5-2e84-4e6f-b32b-0024d0022c79,11,Ksar Kaddour,11000,commune,bcb30485-37b5-4135-a508-acad8a8a9cf8,TRUE,TRUE,Timekten,,,,,,,,,1
5afdfab6-e505-4691-abc7-5e8bd79afad5,12,Tebessa,12,wilaya,,TRUE,TRUE,Timimoun,,,,,,,,,1
1f4e2dfe-6f48-43b1-b3d8-7e46e1f37d18,12,Metarfa,12000,commune,bcb30485-37b5-4135-a508-acad8a8a9cf8,TRUE,TRUE,Tinerkouk,,,,,,,,,4
53c9e062-9c4e-4c77-8b71-55eabf887f83,13,Tlemcen,13,wilaya,,TRUE,TRUE,Tit,,,,,,,,,3
